level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
4454,2017-09-15,85.83,85.86,85.37,85.58,1933504,September,Friday,2017,NVS,-0.0029127344751252475
4453,2017-09-14,85.54,86.02,85.35,85.83,1523818,September,Thursday,2017,NVS,0.0033902267944820198
4452,2017-09-13,85.94,86.02,85.44,85.54,1440145,September,Wednesday,2017,NVS,-0.002099860009332625
4451,2017-09-12,85.72,86.04,85.58,85.72,847931,September,Tuesday,2017,NVS,0.0015188690267554088
4450,2017-09-11,85.29,85.74,85.29,85.59,1584394,September,Monday,2017,NVS,-0.00046712600724036017
4449,2017-09-08,85.51,85.71,85.3,85.63,1254258,September,Friday,2017,NVS,0.003868698710433744
4448,2017-09-07,84.73,85.46,84.46,85.3,2302080,September,Thursday,2017,NVS,0.01717147626997374
4447,2017-09-06,83.73,84.27,83.68,83.86,2046391,September,Wednesday,2017,NVS,0.0007159904534606477
4446,2017-09-05,83.72,83.86,83.42,83.8,2363881,September,Tuesday,2017,NVS,-0.00011931750387787993
4445,2017-09-01,84.25,84.4,83.74,83.81,2586379,September,Friday,2017,NVS,-0.005694625696998504
4444,2017-08-31,83.27,84.56,83.23,84.29,5258369,August,Thursday,2017,NVS,0.018733381677544254
4443,2017-08-30,82.91,83.01,82.61,82.74,3299180,August,Wednesday,2017,NVS,-0.010523798134417721
4442,2017-08-29,83.24,83.93,83.21,83.62,1265870,August,Tuesday,2017,NVS,0.0034801392055682978
4441,2017-08-28,83.34,83.42,83.05,83.33,1893956,August,Monday,2017,NVS,-0.002394349335568093
4440,2017-08-25,83.64,84.09,83.53,83.53,1485836,August,Friday,2017,NVS,-0.0005982292414452878
4439,2017-08-24,83.86,84.03,83.46,83.58,673174,August,Thursday,2017,NVS,0.0036023054755042884
4438,2017-08-23,83.11,83.45,82.91,83.28,1114954,August,Wednesday,2017,NVS,-0.0027541611783020482
4437,2017-08-22,83.3,83.81,83.26,83.51,1127866,August,Tuesday,2017,NVS,0.005902192242833162
4436,2017-08-21,83.18,83.29,82.91,83.02,1039214,August,Monday,2017,NVS,0.003141614306428116
4435,2017-08-18,83.1,83.15,82.66,82.76,1319136,August,Friday,2017,NVS,-0.005049290694878597
4434,2017-08-17,84.04,84.24,83.16,83.18,920180,August,Thursday,2017,NVS,-0.014104539528268312
4433,2017-08-16,84.26,84.51,84.06,84.37,766349,August,Wednesday,2017,NVS,0.003210463733650538
4432,2017-08-15,84.09,84.28,83.73,84.1,1271151,August,Tuesday,2017,NVS,0.002861912711662233
4431,2017-08-14,84.02,84.19,83.68,83.86,798736,August,Monday,2017,NVS,0.006118776244751112
4430,2017-08-11,83.11,83.46,82.95,83.35,1363885,August,Friday,2017,NVS,0.002043760519355464
4429,2017-08-10,84.04,84.04,83.11,83.18,1250416,August,Thursday,2017,NVS,-0.011879306248515086
4428,2017-08-09,84.25,84.25,83.66,84.18,1582409,August,Wednesday,2017,NVS,0.0002376425855514524
4427,2017-08-08,84.52,84.77,83.96,84.16,996101,August,Tuesday,2017,NVS,-0.003315963998105177
4426,2017-08-07,84.55,84.68,84.24,84.44,1305992,August,Monday,2017,NVS,-0.006237495586677665
4425,2017-08-04,84.89,85.15,84.59,84.97,990062,August,Friday,2017,NVS,0.0011782726522916733
4424,2017-08-03,85.3,85.32,84.78,84.87,962708,August,Thursday,2017,NVS,-0.004690981587897168
4423,2017-08-02,85.49,85.59,85.14,85.27,1138919,August,Wednesday,2017,NVS,-0.0008202484180924232
4422,2017-08-01,85.46,85.63,85.27,85.34,990012,August,Tuesday,2017,NVS,0.0016431924882629176
4421,2017-07-31,85.43,85.5,85.07,85.2,1844831,July,Monday,2017,NVS,0.00530973451327437
4420,2017-07-28,84.46,84.85,84.31,84.75,1278927,July,Friday,2017,NVS,-0.0025891491114510873
4419,2017-07-27,85.21,85.32,84.48,84.97,2748703,July,Thursday,2017,NVS,0.001414260459634703
4418,2017-07-26,84.62,84.88,84.34,84.85,1441445,July,Wednesday,2017,NVS,0.007719714964370445
4417,2017-07-25,84.63,84.66,83.92,84.2,1387032,July,Tuesday,2017,NVS,-0.001067742318187251
4416,2017-07-24,84.29,84.49,84.01,84.29,1045543,July,Monday,2017,NVS,-0.008236263089775134
4415,2017-07-21,85.12,85.14,84.72,84.99,1256718,July,Friday,2017,NVS,-0.0050339498946383385
4414,2017-07-20,85.23,85.64,85.18,85.42,1442281,July,Thursday,2017,NVS,0.004586616488298254
4413,2017-07-19,84.88,85.27,84.8,85.03,1736355,July,Wednesday,2017,NVS,0.003067122802878437
4412,2017-07-18,84.63,85.18,83.97,84.77,2655572,July,Tuesday,2017,NVS,0.018013690404707582
4411,2017-07-17,83.84,83.87,82.95,83.27,1628485,July,Monday,2017,NVS,0.001322751322751316
4410,2017-07-14,83.11,83.36,82.72,83.16,1320998,July,Friday,2017,NVS,0.007389460932768013
4409,2017-07-13,82.93,83.03,82.29,82.55,1756364,July,Thursday,2017,NVS,-0.007931738973681008
4408,2017-07-12,83.14,84.0,83.09,83.21,1827567,July,Wednesday,2017,NVS,0.01487986339797535
4407,2017-07-11,82.1,82.1,81.43,81.99,1154841,July,Tuesday,2017,NVS,-0.0013398294762484704
4406,2017-07-10,82.0,82.44,81.93,82.1,873643,July,Monday,2017,NVS,-0.002672497570456741
4405,2017-07-07,81.97,82.41,81.83,82.32,1004989,July,Friday,2017,NVS,0.004269854824935883
4404,2017-07-06,81.92,82.005,81.48,81.97,2365363,July,Thursday,2017,NVS,-0.0139540478768194
4403,2017-07-05,82.14,83.16,82.06,83.13,2484958,July,Wednesday,2017,NVS,-0.005503050604139346
4402,2017-07-03,83.49,83.8,83.41,83.59,862042,July,Monday,2017,NVS,0.0014376422666826946
4401,2017-06-30,84.13,84.26,83.34,83.47,2034800,June,Friday,2017,NVS,-0.008552084570614073
4400,2017-06-29,84.47,84.47,83.66,84.19,1688507,June,Thursday,2017,NVS,-0.012434017595307944
4399,2017-06-28,85.66,85.79,85.11,85.25,1255982,June,Wednesday,2017,NVS,-0.0007033173133278897
4398,2017-06-27,86.01,86.15,85.3,85.31,2623418,June,Tuesday,2017,NVS,-0.005131195335276942
4397,2017-06-26,85.79,86.21,85.73,85.75,2960277,June,Monday,2017,NVS,-0.006833449154505483
4396,2017-06-23,85.57,86.58,85.51,86.34,2199472,June,Friday,2017,NVS,0.0
4395,2017-06-22,85.09,86.9,85.08,86.34,6115300,June,Thursday,2017,NVS,0.04578488372093024
4394,2017-06-21,81.88,82.61,81.78,82.56,1982868,June,Wednesday,2017,NVS,0.01176470588235304
4393,2017-06-20,82.45,82.48,81.53,81.6,1897036,June,Tuesday,2017,NVS,0.0019646365422396443
4392,2017-06-19,80.98,81.55,80.9,81.44,1139392,June,Monday,2017,NVS,0.007546702956822955
4391,2017-06-16,80.64,80.83,80.23,80.83,1798735,June,Friday,2017,NVS,0.004723430702299507
4390,2017-06-15,79.72,80.57,79.69,80.45,1953077,June,Thursday,2017,NVS,-0.010089824043312332
4389,2017-06-14,81.39,81.58,81.07,81.27,1506195,June,Wednesday,2017,NVS,-0.0022099447513813
4388,2017-06-13,81.42,81.65,81.25,81.45,1720122,June,Tuesday,2017,NVS,0.0075457694210786675
4387,2017-06-12,81.13,81.25,80.66,80.84,1763343,June,Monday,2017,NVS,-0.0036973132856790384
4386,2017-06-09,80.61,81.34,80.48,81.14,2061558,June,Friday,2017,NVS,0.0011104256631709244
4385,2017-06-08,81.15,81.31,80.78,81.05,1831731,June,Thursday,2017,NVS,-0.002093080522038928
4384,2017-06-07,82.02,82.09,80.96,81.22,2557457,June,Wednesday,2017,NVS,-0.00757575757575763
4383,2017-06-06,81.87,82.01,81.68,81.84,1376839,June,Tuesday,2017,NVS,0.00012220457045099742
4382,2017-06-05,81.84,81.93,81.4,81.83,911655,June,Monday,2017,NVS,-0.004864404718472646
4381,2017-06-02,82.2,82.47,82.01,82.23,1107320,June,Friday,2017,NVS,0.004519912044954857
4380,2017-06-01,81.78,81.91,81.6,81.86,1214376,June,Thursday,2017,NVS,0.0011006481594717306
4379,2017-05-31,81.66,82.09,81.6,81.77,1702056,May,Wednesday,2017,NVS,0.015397988327331363
4378,2017-05-30,80.43,80.92,80.4,80.53,1335359,May,Tuesday,2017,NVS,-0.0012402331638347304
4377,2017-05-26,80.86,81.02,80.57,80.63,1735434,May,Friday,2017,NVS,-0.008850645359557454
