Date,Price,Open,High,Low,Vol.,Change %,Change
22-May-14,"1,892.49","1,888.19","1,896.33","1,885.39",0,0.24,0.002362251
21-May-14,"1,888.03","1,873.34","1,888.80","1,873.34",0,0.81,0.00811606
20-May-14,"1,872.83","1,884.88","1,884.88","1,868.14",0,-0.65,-0.006498398
19-May-14,"1,885.08","1,876.66","1,886.00","1,872.42",0,0.38,0.003844802
16-May-14,"1,877.86","1,871.19","1,878.28","1,864.82",0,0.37,0.00374696
15-May-14,"1,870.85","1,888.16","1,888.16","1,862.36",0,-0.94,-0.009361779
14-May-14,"1,888.53","1,897.13","1,897.13","1,885.77",0,-0.47,-0.004701046
13-May-14,"1,897.45","1,896.75","1,902.17","1,896.06",0,0.04,0.000421796
12-May-14,"1,896.65","1,880.03","1,897.13","1,880.03",0,0.97,0.009672714
9-May-14,"1,878.48","1,875.27","1,878.57","1,867.02",0,0.15,0.001519489
8-May-14,"1,875.63","1,877.39","1,889.07","1,870.05",0,-0.14,-0.001373648
7-May-14,"1,878.21","1,868.53","1,878.83","1,859.79",0,0.56,0.005616474
6-May-14,"1,867.72","1,883.69","1,883.69","1,867.72",0,-0.9,-0.008988359
5-May-14,"1,884.66","1,879.45","1,885.51","1,866.77",0,0.19,0.001871206
2-May-14,"1,881.14","1,885.30","1,891.33","1,878.50",0,-0.13,-0.001348424
1-May-14,"1,883.68","1,884.39","1,888.59","1,878.04",0,-0.01,-0.000143316
30-Apr-14,"1,883.95","1,877.10","1,885.20","1,872.69",0,0.3,0.00299202
29-Apr-14,"1,878.33","1,870.78","1,880.60","1,870.78",0,0.48,0.004760809
28-Apr-14,"1,869.43","1,865.00","1,877.01","1,850.61",0,0.32,0.00323602
25-Apr-14,"1,863.40","1,877.72","1,877.72","1,859.70",0,-0.81,-0.008096412
24-Apr-14,"1,878.61","1,881.97","1,884.06","1,870.24",0,0.17,0.001716976
23-Apr-14,"1,875.39","1,879.32","1,879.75","1,873.91",0,-0.22,-0.002213296
22-Apr-14,"1,879.55","1,872.57","1,884.89","1,872.57",0,0.41,0.004092121
